City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Maumere,ID,-8.6199,122.2111,78.73,83,55,9.55,broken clouds
217,Comodoro Rivadavia,AR,-45.8667,-67.5,87.66,11,0,25.32,clear sky
218,Portland,US,45.5234,-122.6762,47.39,87,75,1.01,light rain
219,Key Biscayne,US,25.6937,-80.1628,72.01,56,75,1.01,broken clouds
220,Te Anau,NZ,-45.4167,167.7167,66.49,95,95,4.29,light rain
221,Kamiiso,JP,41.8167,140.65,19.9,92,50,4.92,scattered clouds
222,Galle,LK,6.0367,80.217,72.45,87,8,5.21,clear sky
223,San Policarpo,PH,12.1791,125.5072,78.21,84,99,10.94,overcast clouds
224,Iwanai,JP,42.9744,140.5089,25.88,82,100,8.21,light snow
225,Padang,ID,-0.9492,100.3543,75.96,87,100,3.42,moderate rain
226,Plettenberg Bay,ZA,-34.0527,23.3716,73.54,86,56,3.74,broken clouds
227,Brownsville,US,25.9018,-97.4975,75.31,70,0,7.0,clear sky
228,Nishihara,JP,26.1842,127.7558,62.65,94,100,8.05,overcast clouds
229,Bathsheba,BB,13.2167,-59.5167,81.21,69,40,16.11,scattered clouds
230,Mogocha,RU,53.7333,119.7667,-9.56,94,99,3.94,overcast clouds
231,Pasighat,IN,28.0667,95.3333,55.08,88,100,2.21,overcast clouds
232,Jamame,SO,0.0722,42.7506,77.67,85,100,11.34,overcast clouds
233,Klaksvik,FO,62.2266,-6.589,32.92,88,100,7.16,light snow
234,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,76.87,85,100,4.16,light rain
235,Chuy,UY,-33.6971,-53.4616,71.35,51,0,9.57,clear sky
236,Nizwa,OM,22.9333,57.5333,69.01,29,3,3.04,clear sky
237,Fengkou,CN,30.0833,113.2667,34.29,93,100,8.41,light snow
238,Lata,PT,40.1629,-8.3327,56.07,74,0,4.21,clear sky
239,Pierre,US,44.3683,-100.351,26.06,54,0,8.99,clear sky
240,Mogadishu,SO,2.0371,45.3438,78.19,88,100,19.3,overcast clouds
241,Kattivakkam,IN,13.2167,80.3167,76.06,80,3,2.75,clear sky
242,Bonthe,SL,7.5264,-12.505,78.84,85,66,10.11,broken clouds
243,Constitucion,CL,-35.3333,-72.4167,66.18,64,4,5.82,clear sky
244,Khatanga,RU,71.9667,102.5,-36.4,99,22,2.46,few clouds
245,Aksu,CN,41.1231,80.2644,22.71,52,0,0.47,clear sky
246,Okhotsk,RU,59.3833,143.3,-1.68,77,7,16.53,clear sky
247,Luchenza,MW,-16.0069,35.3095,67.62,94,0,2.15,clear sky
248,Poya,NC,-21.35,165.15,80.49,73,45,5.39,scattered clouds
249,Nicoya,CR,10.1483,-85.452,89.15,41,47,1.05,scattered clouds
250,Rajpur,IN,22.3,74.35,66.2,50,2,1.23,clear sky
251,Pervomayskoye,RU,43.919,46.7102,35.4,81,19,6.69,few clouds
252,Souillac,MU,-20.5167,57.5167,79.36,100,75,18.41,light intensity shower rain
253,Minden,DE,52.2833,8.9167,45.77,90,96,21.59,overcast clouds
254,Manado,ID,1.487,124.8455,75.97,94,40,2.3,scattered clouds
255,Coahuayana,MX,18.7333,-103.6833,87.28,38,0,7.78,clear sky
256,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,78.94,86,35,3.11,light rain
257,Dargaville,NZ,-35.9333,173.8833,73.89,65,100,12.93,overcast clouds
258,Brownwood,US,31.7093,-98.9912,72.72,44,0,11.5,clear sky
259,Klyuchi,RU,52.2667,79.1667,7.47,96,100,6.42,overcast clouds
260,Tuatapere,NZ,-46.1333,167.6833,72.82,77,97,7.45,light rain
261,Kirakira,SB,-10.4544,161.9205,81.25,81,79,3.58,light rain
262,Raudeberg,NO,61.9875,5.1352,38.07,82,99,3.0,overcast clouds
263,Paamiut,GL,61.994,-49.6678,14.32,82,100,11.03,overcast clouds
264,Puerto Del Rosario,ES,28.5004,-13.8627,69.48,56,0,4.61,clear sky
265,San Andres,CO,12.5847,-81.7006,82.42,69,20,9.22,few clouds
266,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,89,75,6.91,light rain
267,Leshukonskoye,RU,64.8989,45.7622,5.07,98,95,5.14,overcast clouds
268,Ascension,US,30.2169,-90.9001,68.11,94,100,0.0,moderate rain
269,Najran,SA,17.4924,44.1277,68.65,37,3,3.2,clear sky
270,San Juan,AR,-31.5375,-68.5364,97.14,21,2,8.84,clear sky
271,Bani,DO,18.2833,-70.3333,81.84,60,20,11.14,few clouds
272,Wittingen,DE,52.7269,10.7361,44.49,100,88,23.64,overcast clouds
273,Kavieng,PG,-2.5744,150.7967,79.02,82,100,6.06,light rain
274,Asfi,MA,32.2994,-9.2372,60.24,50,0,16.24,clear sky
275,Mandalgovi,MN,45.7625,106.2708,-1.21,73,0,7.58,clear sky
276,Tukrah,LY,32.5341,20.5791,55.78,73,82,23.06,broken clouds
277,West Bay,KY,19.3667,-81.4167,81.07,77,20,3.0,few clouds
278,Ulladulla,AU,-35.35,150.4667,67.77,89,100,11.83,light rain
279,Calatrava,PH,10.595,123.4838,78.82,85,100,8.12,overcast clouds
280,Bilma,NE,18.6853,12.9164,58.78,20,0,6.55,clear sky
281,Gerardmer,FR,48.0735,6.8779,36.0,98,100,8.55,light snow
282,Berlevag,NO,70.8578,29.0864,17.55,67,0,8.05,clear sky
283,Hargeysa,SO,9.56,44.065,59.09,96,98,12.39,overcast clouds
284,Lewisporte,CA,49.2499,-55.0482,17.31,65,58,11.03,broken clouds
285,Geraldton,AU,-28.7667,114.6,84.61,26,41,25.32,scattered clouds
286,Bossangoa,CF,6.4926,17.4552,74.7,17,4,4.5,clear sky
287,College,US,64.8569,-147.8028,-0.74,76,20,0.0,few clouds
